Layer_index,Shape,Weight Size,Input Size,Output Size,f_read,f_write,f_flops,f_peakmem,b_read,b_write,b_flops,b_peakmem
83,"BatchNorm2d(160, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1280,31360,31360,2008320,2007040,2508800,971377568,2008320,2007040,2508800,971377568
84,"Conv2d(160, 960, kernel_size=(1, 1), stride=(1, 1), bias=False)",614400,31360,188160,2621440,12042240,481689600,983419808,26705920,2621440,963379200,971377568
85,"BatchNorm2d(960, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",7680,188160,188160,12049920,12042240,15052800,983419808,12049920,12042240,15052800,983419808
86,"Conv2d(960, 960, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=960, bias=False)",34560,188160,188160,12076800,12042240,27095040,983419808,12076800,12042240,27095040,983419808
87,"BatchNorm2d(960, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",7680,188160,188160,12049920,12042240,15052800,983419808,12049920,12042240,15052800,983419808
88,"Conv2d(960, 160, kernel_size=(1, 1), stride=(1, 1), bias=False)",614400,188160,31360,12656640,2007040,481689600,985426848,16670720,12656640,963379200,983419808
89,"BatchNorm2d(160, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1280,31360,31360,2008320,2007040,2508800,985426848,2008320,2007040,2508800,985426848
90,"Conv2d(160, 960, kernel_size=(1, 1), stride=(1, 1), bias=False)",614400,31360,188160,2621440,12042240,481689600,997469088,26705920,2621440,963379200,985426848
91,"BatchNorm2d(960, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",7680,188160,188160,12049920,12042240,15052800,997469088,12049920,12042240,15052800,997469088
92,"Conv2d(960, 960, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=960, bias=False)",34560,188160,188160,12076800,12042240,27095040,997469088,12076800,12042240,27095040,997469088
93,"BatchNorm2d(960, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",7680,188160,188160,12049920,12042240,15052800,997469088,12049920,12042240,15052800,997469088
94,"Conv2d(960, 160, kernel_size=(1, 1), stride=(1, 1), bias=False)",614400,188160,31360,12656640,2007040,481689600,999476128,16670720,12656640,963379200,997469088
95,"BatchNorm2d(160, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",1280,31360,31360,2008320,2007040,2508800,999476128,2008320,2007040,2508800,999476128
96,"Conv2d(160, 960, kernel_size=(1, 1), stride=(1, 1), bias=False)",614400,31360,188160,2621440,12042240,481689600,1011518368,26705920,2621440,963379200,999476128
97,"BatchNorm2d(960, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",7680,188160,188160,12049920,12042240,15052800,1011518368,12049920,12042240,15052800,1011518368
98,"Conv2d(960, 960, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), groups=960, bias=False)",34560,188160,188160,12076800,12042240,27095040,1011518368,12076800,12042240,27095040,1011518368
99,"BatchNorm2d(960, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",7680,188160,188160,12049920,12042240,15052800,1011518368,12049920,12042240,15052800,1011518368
100,"Conv2d(960, 320, kernel_size=(1, 1), stride=(1, 1), bias=False)",1228800,188160,62720,13271040,4014080,963379200,1015532448,21299200,13271040,1926758400,1011518368
101,"BatchNorm2d(320, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",2560,62720,62720,4016640,4014080,5017600,1015532448,4016640,4014080,5017600,1015532448
102,"Conv2d(320, 1280, kernel_size=(1, 1), stride=(1, 1), bias=False)",1638400,62720,250880,5652480,16056320,1284505600,1015532448,17694720,4014080,1284505600,1015532448
103,"BatchNorm2d(1280, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)",10240,250880,250880,16066560,16056320,20070400,1015532448,16066560,16056320,20070400,1015532448
104,"Linear(in_features=1280, out_features=1000, bias=True)",5124000,5120,4000,5451680,256000,81920000,1015532448,5380000,327680,81920000,1015532448
